startLatitude,startLongitude,endLatitude,endLongitude,distance,duration,encodedPolyline
-36.843821,174.757102,-36.848135,174.761565,861,298,z`{_F{fsi`@@A??@ATCh@Z^Dz@Cf@_@X{Ap@oA|@Ov@a@Cy@HaAGwAMuAMsAKuAZm@f@Fn@Tn@Pt@GfAJ|@b@d@KX{AZwAHm@n@DHC??
-36.853052,174.763541,-36.855411,174.765724,476,229,pz|_Fcoti`@??k@GkA]MKReAp@Mf@Sr@_@l@Y@C????????FQt@_Az@i@z@]|@k@~@Wf@Fn@G?@??
-36.854071,174.768379,-36.857533,174.76658,457,109,|`}_Fkmui`@ADdAo@dBJpBv@lAxAdAlBf@P`AG^j@zA`A\L??
-36.851997,174.76408,-36.853496,174.757331,1009,412,~s|_Forti`@AFHd@Mh@YpA]\KVc@rASv@EFg@Dq@]u@Qe@@Oh@Kp@Ml@WdAO~@R`@r@\j@d@z@Np@VXbAh@b@BD??ND|@f@n@f@r@\x@\p@d@p@^j@X@r@Tj@f@TEx@YhAI@??
-36.8482,174.757583,-36.847511,174.744175,1226,353,f|{_F{isi`@CA@z@L|A@`BEbBAvAC|@@lAA`BA~A@hBAzA?vCLvCJnBJjAHzAFv@Bb@DtAFzA@R@^AVYtAg@|Ac@rASf@Sx@c@rASzACrAEdAI~@DVA???
-36.851761,174.768143,-36.852676,174.763895,605,209,nr|_F{kui`@???@RLl@d@v@x@\l@m@bAk@p@YtAF~@dA^bBr@`Aj@?\TbAqA`B_B|@`@`@VB@??AA@@A
-36.845029,174.766536,-36.85023,174.764677,2802,896,lh{_F{aui`@AA@@?@AB@BpAb@n@BjAVjAHdAX`ALhAXVG~B^`@^z@^h@N????????n@N`A^|@\d@[pAx@bAXf@b@z@j@~@Vh@P~@V~@X~@ZXN^J|@^~@Nr@XHJXRBjA[xA_@z@BD?AVZp@z@n@x@|@nA~@~AfArA~@nAz@`A~@H`AGbAIfAIf@IFy@N{AFkALuAEoAWi@w@a@{@UkAg@_A[cAWkAg@aA]y@U{@M{@WcAg@cA]g@SoAc@uAo@{Ai@gAS{@WkAa@kAi@i@YU@a@O_@O??
-36.853133,174.756773,-36.856784,174.781168,3697,816,`{|_Fydsi`@AA??NA~@iAX{Bf@sBlB_AnBMnBK~A_@xAFz@K`AGbAGr@g@HyAJ_BF{A?uACwA?qAPkAZ{Ah@qBz@oBp@mAv@_BjA{BlA{Bj@kAZq@z@oBX}BV{APwAH{AXuARqAf@q@dAWdAg@\i@??????Jq@zAkB|AmA~AcBvAeBl@aC[m@??KMuA}AiAwBk@iCp@sAJgAYiCZuBP{AF}ATyAPsAJiAu@}@y@{@u@w@{@_Ay@}@w@m@_Am@kAk@gB}@mBw@yBMmBOeB~@{AdAeBlA}AdA_Ah@YR??
-36.857738,174.754828,-36.862035,174.747371,922,254,zw}_Fuxri`@??DD@dBNvCPnA^bAp@`Cl@~BX`A???@@?XjAr@jA`@~@d@bAXbAhAxAv@rAdAtB|@|A~@bBr@N~@{@j@c@????
-36.857742,174.759365,-36.865398,174.780008,2943,946,zw}_Fausi`@@@?a@@}ABiADsAJkA^m@@mA?kA`@_BtAkA~@MrAh@~@I`Ab@`Af@hAj@lAf@H@f@Pl@^????????@??????@t@ZbAVXAv@PLBA\Ph@pAZz@Z@E????B?@C@?@????A@???@ADBLD???E@Ap@uAn@uB\aCh@gCLmBRiB\yCb@wCXiCAcBZaAf@yBL}BXcCZoCA{Au@Ui@_@w@_@}@Oy@SeA]T}B^yC^yC`@wCZsCZuCh@{CLcBd@iANuACmA]eAq@y@@y@i@]Jw@f@mAj@W??
-36.851763,174.76818,-36.846319,174.765629,1118,369,nr|_Fclui`@??@??FAQ_Ac@}@]aA]w@YaA]cA]}@]kAa@gAYs@YsA]s@a@cAy@oADk@jBBdBLzAYjBWzA@z@QrAIx@l@Zt@RN^ACY|@Uf@GNS\CTBKWFgAK??
